开课日期,课程,期号,城市,导师,上课人数,上课企业数
2023/6/15,卓越经营者,5,上海,祝鹏程,31,20
2023/6/27,GTM营销操盘管理,6,上海,鲍圣霞,31,18
2023/6/29,科学分钱,82,杭州,卞志汉,58,27
2023/6/30,战略绩效设计,15,上海,陈雨点,36,26
2023/7/3,需求预测管理&库存管控,1,杭州,高上,39,6
2023/7/8,OGSM业务规划与执行,36,上海,袁园,40,18
2023/7/13,动态股权设计,108,杭州,罗毅&张杰,34,21
2023/7/15,极简项目管理,47,杭州,郭嘉,56,17
2023/7/20,战略客户经营,1,上海,崔建中,45,26
2023/7/21,业务管理者养成,35,杭州,汤君健,33,15
2023/7/22,品牌体验设计,52,杭州,汪志谦,69,31
2023/8/5,供应链管理,8,杭州,高上,41,16
2023/8/12,流程型组织,81,上海,蒋伟良,82,31
2023/8/18,小红花特权课,1,上海,大髙啓二,3,1
2023/8/24,创始人财务进阶,41,杭州,徐薇,65,33
2023/8/26,科学分钱,83,上海,卞志汉,57,36
2023/8/31,管理者的自我管理,29,上海,欧阳开贵&邓良,81,37
2023/9/2,战略级项目管理,1,上海,郭嘉,36,21
2023/9/9,业务管理者养成,36,上海,汤君健,49,29
2023/9/14,卓越经营者,7,上海,祝鹏程,31,23
2023/9/14,做实企业文化,72,上海,欧德张,40,20
2023/9/16,业务领先战略,27,上海,汪瀛,28,23
2023/9/23,科学分钱,86,上海,卞志汉,42,14
2023/10/12,动态股权设计,110,上海,罗毅&张杰,44,36
2023/10/12,品牌增长与全域营销,13,上海,陈陶琦,33,17
2023/10/14,极简项目管理,49,杭州,郭嘉,36,20
2023/10/14,品牌体验设计,53,上海,汪志谦,60,36
2023/10/21,创始人财务进阶,43,杭州,徐薇,50,24
2023/10/21,流程型组织,83,上海,蒋伟良,101,37
2023/10/26,科学分钱,87,杭州,卞志汉,48,29
2023/10/28,GTM营销操盘管理,9,上海,鲍圣霞,75,16
2023/11/3,全员短视频营销,2,上海,袁嘉骏,44,26
2023/11/16,教练式领导力,67,上海,季益祥,52,18
2023/11/16,科学分钱,88,苏州,卞志汉,50,15
2023/11/17,财税筹划实战,2,杭州,徐薇,45,17
2023/11/18,B2B销售业绩管理,16,上海,崔建中,51,32
2023/11/18,OGSM业务规划与执行,40,上海,袁园,52,26
2023/11/23,做实企业文化,75,杭州,欧德张,23,10
2023/11/25,极简项目管理,52,上海,郭嘉,36,21
2023/11/25,战略绩效设计,20,上海,陈雨点,36,23
2023/11/30,事业战略,18,上海,邓良,42,28
2023/12/2,卓越经营者,9,杭州,祝鹏程,30,13
2023/12/6,铁三角营销体系,6,上海,王占刚,34,16
2023/12/7,品牌体验设计,56,上海,汪志谦,57,42
2023/12/16,科学分钱,90,上海,卞志汉,48,29
2023/12/21,供应链管理,15,杭州,高上,72,29
2023/12/23,B2B策略销售,27,上海,崔建中,35,19
2023/12/23,教练式领导力,68,杭州,季益祥,32,13
2023/12/23,流程型组织,86,上海,蒋伟良,88,38
2024/1/5,超级面试官,2,上海,川老师,46,29
2024/1/6,创始人财务进阶,47,杭州,徐薇,31,13
2024/1/6,业务领先战略,30,上海,汪瀛,62,25
2024/1/13,动态股权设计,112,上海,罗毅&张杰,27,21
2024/1/13,科学分钱,93,上海,卞志汉,49,30
2024/2/29,战略绩效设计,22,上海,陈雨点,48,31
2024/3/1,超级面试官,5,杭州,川老师,70,27
2024/3/1,-全面预算管理,3,上海,陈振源,36,24
2024/3/2,OGSM业务规划与执行,43,上海,袁园,62,31
2024/3/2,超级转化率,2,杭州,陈勇,73,11
2024/3/7,公司顶层架构与股权规划,1,上海,杨轶,36,31
2024/3/9,组织设计总纲课,5,上海,蒋伟良,88,43
2024/3/16,供应链管理,17,杭州,高上,68,27
2024/3/16,品牌体验设计,57,上海,汪志谦,84,35
2024/3/21,科学分钱,96,上海,卞志汉,66,39
2024/3/23,GTM营销操盘管理,12,上海,鲍圣霞,55,26
2024/3/23,教练式领导力,70,杭州,季益祥,23,15
2024/3/23,业务领先战略,31,上海,汪瀛,43,20
2024/3/28,需求预测管理&库存管控,8,杭州,高上,33,9
2024/3/30,流程型组织,88,上海,蒋伟良,121,53
2024/3/30,做实企业文化,77,杭州,欧德张,44,23
2024/4/13,B2B策略销售,28,上海,崔建中,45,21
2024/4/13,极简项目管理,57,上海,郭嘉,76,32
2024/4/13,铁三角营销体系,7,苏州,王占刚,59,21
2024/4/19,超级面试官,8,上海,川老师,58,36
2024/4/20,体验式增长,2,杭州,罗浩,36,14
2024/4/23,财税筹划实战,7,杭州,徐薇,42,27
2024/4/24,创始人财务进阶,49,杭州,徐薇,60,24
2024/4/26,超级转化率,3,杭州,陈勇,51,9
2024/4/27,教练式领导力,71,上海,季益祥,54,24
2024/4/27,品牌增长与全域营销,17,上海,陈陶琦,51,29
2024/5/9,科学分钱,98,杭州,卞志汉,44,27
2024/5/9,业务管理者养成,45,上海,汤君健,57,23
2024/5/11,战略绩效设计,25,上海,陈雨点,34,21
2024/5/16,卓越经营者,12,上海,祝鹏程,64,27
2024/5/17,超级面试官,10,杭州,川老师,37,25
2024/5/25,OGSM业务规划与执行,47,杭州,袁园,73,25
2024/5/25,供应链管理,20,上海,高上,44,20
2024/5/30,超级转化率,6,杭州,陈勇,45,10
2024/6/1,从用户研究到产品创新,10,杭州,科叔,44,22
2024/6/1,升级定位与品牌战略,59,上海,冯卫东,83,47
2024/6/1,组织设计总纲课,7,上海,蒋伟良,86,46
2024/6/13,月度经营分析会,1,上海,祝鹏程,62,33
2024/6/15,B2B销售业绩管理,20,上海,崔建中,76,43
2024/6/20,教练式领导力,73,上海,季益祥,42,21
2024/6/20,品牌体验设计,59,上海,汪志谦,74,37
2024/6/21,财税筹划实战,8,杭州,徐薇,36,19
2024/6/22,创始人财务进阶,51,杭州,徐薇,55,25
2024/6/22,科学分钱,100,上海,卞志汉,46,26
2024/6/27,跨境爆品打造,5,杭州,张雷,39,17
2024/6/28,全员短视频营销,9,杭州,袁嘉骏,44,27
